CATALOG_ID,SEED,CLASS,SHIP_TYPE,MCR_PERCENT,CRUISING_SPEED_KT,ROTACIONAL_FREQUENCY,LENGTH_M,DRAFT_M,N_BLADES,N_SHAFTS,NB_LOWER,NB_MEDIUM,NB_GREATER,NB_ISOLATED,NB_OSCILLATING,NB_concentrated
54,96,Service,tug,0.74,9.0,243.0,32.0,5.0,6,1,0.24,0.14,0.0,0.14,0.17,0.14
55,97,Cargo,tanker,0.78,8.28,141.0,132.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
56,98,Service,dredger,0.79,8.0,165.0,115.0,5.0,4,1,0.02,0.98,0.0,0.0,0.0,0.0
57,99,Cargo,bulker,0.75,11.0,62.0,226.0,9.52,6,1,0.18,0.04,0.0,0.0,0.14,0.0
58,100,Cargo,containership,0.71,13.0,54.0,138.0,8.0,6,1,0.33,0.0,0.0,0.0,0.0,0.0
59,101,Service,fishing,0.62,8.0,177.0,29.0,4.0,5,1,0.06,0.0,0.06,0.06,0.06,0.26
60,102,Cargo,containership,0.71,13.0,54.0,138.0,8.0,6,1,0.33,0.0,0.0,0.0,0.0,0.0
61,103,Service,tug,0.8,10.0,249.0,35.0,6.0,6,1,0.3,0.2,0.0,0.2,0.3,0.2
62,104,Service,fishing,0.69,5.0,141.0,20.0,2.0,3,1,0.1,0.0,0.1,0.1,0.1,0.3
63,105,Cargo,bulker,0.79,12.0,68.0,287.0,11.89,6,1,0.28,0.09,0.0,0.0,0.19,0.0
64,106,Service,tug,0.77,10.0,250.0,35.0,6.0,6,1,0.27,0.17,0.0,0.17,0.24,0.17
65,107,Cargo,vehicle_carrier,0.76,17.0,53.0,177.0,5.62,6,1,0.85,0.0,0.12,0.02,0.02,0.0
66,108,Cargo,tanker,0.77,8.02,139.0,128.0,7.0,4,1,0.43,0.03,0.0,0.0,0.0,0.01
67,109,Cargo,bulker,0.74,11.0,58.0,210.0,8.9,6,1,0.16,0.03,0.0,0.0,0.13,0.0
68,110,Cargo,tanker,0.89,11.24,147.0,278.0,9.0,5,1,0.59,0.19,0.0,0.0,0.0,0.09
69,111,Service,recreational,0.72,16.0,106.0,31.0,2.0,4,1,0.28,0.0,0.18,0.17,0.0,0.27
70,112,Cargo,vehicle_carrier,0.77,19.0,57.0,185.0,6.2,6,1,0.9,0.0,0.15,0.05,0.05,0.0
71,113,Cargo,vehicle_carrier,0.75,16.0,50.0,170.0,5.08,6,1,0.81,0.0,0.1,0.0,0.0,0.0
72,114,Cargo,bulker,0.74,10.0,57.0,205.0,8.7,4,1,0.15,0.02,0.0,0.0,0.12,0.0
73,115,Cargo,vehicle_carrier,0.79,18.0,54.0,179.0,7.24,6,1,0.98,0.0,0.19,0.09,0.09,0.0
74,116,Service,fishing,0.66,9.0,192.0,29.0,4.0,5,1,0.08,0.0,0.08,0.08,0.08,0.28
75,117,Cargo,vehicle_carrier,0.76,17.0,53.0,177.0,5.6,6,1,0.85,0.0,0.12,0.02,0.02,0.0
76,118,Cargo,tanker,0.86,10.34,140.0,131.0,7.0,4,1,0.54,0.14,0.0,0.0,0.0,0.07
77,119,Cargo,tanker,0.89,11.21,144.0,138.0,8.0,5,1,0.59,0.19,0.0,0.0,0.0,0.09
78,120,Service,tug,0.75,8.0,252.0,34.0,6.0,4,1,0.25,0.15,0.0,0.15,0.2,0.15
79,121,Cargo,tanker,0.76,7.85,137.0,125.0,6.0,4,1,0.42,0.02,0.0,0.0,0.0,0.01
80,122,Service,tug,0.75,8.0,252.0,34.0,6.0,4,1,0.25,0.15,0.0,0.15,0.2,0.15
81,123,Cargo,tanker,0.76,7.71,136.0,123.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.01
82,124,Service,fishing,0.69,9.0,157.0,24.0,3.0,4,1,0.1,0.0,0.1,0.1,0.1,0.3
83,125,Service,dredger,0.84,7.0,151.0,101.0,4.0,4,1,0.05,0.92,0.0,0.0,0.0,0.0
84,126,Service,tug,0.76,7.0,256.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.21,0.16
85,127,Cargo,containership,0.7,12.0,51.0,125.0,6.0,6,1,0.31,0.0,0.0,0.0,0.0,0.0
86,128,Service,recreational,0.74,16.0,107.0,31.0,2.0,4,1,0.29,0.0,0.19,0.19,0.0,0.29
87,129,Cargo,bulker,0.77,12.0,68.0,250.0,10.43,6,1,0.22,0.06,0.0,0.0,0.16,0.0
88,130,Cargo,tanker,0.83,9.58,148.0,281.0,10.0,5,1,0.5,0.1,0.0,0.0,0.0,0.05
89,131,Cargo,vehicle_carrier,0.77,18.0,55.0,180.0,5.79,6,1,0.86,0.0,0.13,0.03,0.03,0.0
90,132,Service,dredger,0.79,9.0,172.0,122.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
91,133,Cargo,tanker,0.82,9.48,150.0,285.0,9.0,5,1,0.5,0.1,0.0,0.0,0.0,0.05
92,134,Cargo,vehicle_carrier,0.77,19.0,57.0,185.0,6.21,6,1,0.9,0.0,0.15,0.05,0.05,0.0
93,135,Service,recreational,0.7,17.0,111.0,35.0,2.0,4,1,0.27,0.0,0.17,0.13,0.0,0.23
94,136,Service,recreational,0.69,18.0,118.0,34.0,2.0,4,1,0.26,0.0,0.16,0.12,0.0,0.22
95,137,Service,recreational,0.61,15.0,102.0,30.0,2.0,4,1,0.21,0.0,0.11,0.01,0.0,0.11
96,138,Cargo,vehicle_carrier,0.76,17.0,53.0,176.0,5.48,6,1,0.84,0.0,0.12,0.02,0.02,0.0
97,139,Cargo,tanker,0.75,7.51,135.0,120.0,6.0,4,1,0.4,0.0,0.0,0.0,0.0,0.0
98,140,Service,recreational,0.72,15.0,103.0,30.0,2.0,4,1,0.28,0.0,0.18,0.15,0.0,0.25
99,141,Service,fishing,0.6,5.0,173.0,28.0,4.0,5,1,0.05,0.0,0.05,0.05,0.05,0.25
100,142,Service,tug,0.76,10.0,257.0,34.0,6.0,6,1,0.26,0.16,0.0,0.16,0.22,0.16
101,143,Cargo,vehicle_carrier,0.8,17.0,52.0,175.0,7.27,6,1,0.98,0.0,0.19,0.09,0.09,0.0
102,144,Cargo,vehicle_carrier,0.77,19.0,57.0,184.0,6.12,6,1,0.89,0.0,0.14,0.04,0.04,0.0
103,145,Cargo,tanker,0.88,10.98,148.0,281.0,9.0,5,1,0.57,0.17,0.0,0.0,0.0,0.09
104,146,Cargo,vehicle_carrier,0.76,17.0,52.0,174.0,5.33,6,1,0.83,0.0,0.11,0.01,0.01,0.0
105,147,Cargo,vehicle_carrier,0.78,20.0,59.0,174.0,6.51,6,1,0.92,0.0,0.16,0.06,0.06,0.0
106,148,Service,recreational,0.66,18.0,112.0,33.0,2.0,4,1,0.24,0.0,0.14,0.08,0.0,0.18
107,149,Cargo,tanker,0.76,7.78,137.0,124.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.01
108,150,Service,recreational,0.72,17.0,110.0,32.0,2.0,4,1,0.28,0.0,0.18,0.16,0.0,0.26
109,151,Service,tug,0.77,10.0,246.0,35.0,6.0,6,1,0.27,0.17,0.0,0.17,0.24,0.17
110,152,Service,dredger,0.85,12.0,170.0,166.0,5.0,4,1,0.05,0.3,0.0,0.0,0.0,0.0
111,153,Service,tug,0.8,10.0,251.0,33.0,5.0,6,1,0.3,0.2,0.0,0.2,0.3,0.2
112,154,Service,dredger,0.77,7.0,146.0,96.0,4.0,4,1,0.01,0.99,0.0,0.0,0.0,0.0
113,155,Service,recreational,0.69,17.0,118.0,34.0,2.0,4,1,0.26,0.0,0.16,0.12,0.0,0.22
114,156,Service,tug,0.75,10.0,251.0,33.0,5.0,6,1,0.25,0.15,0.0,0.15,0.2,0.15
115,157,Cargo,tanker,0.84,9.95,150.0,285.0,10.0,5,1,0.52,0.12,0.0,0.0,0.0,0.06
116,158,Cargo,bulker,0.77,12.0,120.0,262.0,10.92,4,1,0.24,0.07,0.0,0.0,0.17,0.0
117,159,Service,recreational,0.66,18.0,112.0,33.0,2.0,4,1,0.24,0.0,0.14,0.08,0.0,0.18
118,160,Service,dredger,0.76,6.0,135.0,85.0,4.0,4,1,0.01,0.21,0.0,0.0,0.0,0.0
119,161,Service,fishing,0.6,8.0,173.0,28.0,4.0,5,1,0.05,0.0,0.05,0.05,0.05,0.25
120,162,Service,dredger,0.76,6.0,126.0,76.0,4.0,4,1,0.0,0.21,0.0,0.0,0.0,0.0
121,163,Service,fishing,0.61,12.0,174.0,28.0,4.0,5,1,0.05,0.0,0.05,0.05,0.05,0.25
122,164,Cargo,vehicle_carrier,0.75,16.0,51.0,173.0,5.24,6,1,0.82,0.0,0.11,0.01,0.01,0.0
123,165,Service,tug,0.7,7.0,221.0,30.0,4.0,4,1,0.2,0.1,0.0,0.1,0.1,0.1
124,166,Service,fishing,0.54,7.0,151.0,22.0,2.0,3,1,0.02,0.0,0.02,0.02,0.02,0.22
125,167,Service,dredger,0.77,7.0,149.0,99.0,4.0,4,1,0.01,0.91,0.0,0.0,0.0,0.0
126,168,Cargo,vehicle_carrier,0.79,16.0,51.0,173.0,6.86,6,1,0.95,0.0,0.17,0.07,0.07,0.0
127,169,Cargo,bulker,0.74,11.0,58.0,207.0,8.78,6,1,0.15,0.03,0.0,0.0,0.13,0.0
128,170,Cargo,tanker,0.87,10.65,146.0,276.0,8.0,5,1,0.56,0.16,0.0,0.0,0.0,0.08
129,171,Cargo,tanker,0.87,10.63,147.0,278.0,10.0,5,1,0.56,0.16,0.0,0.0,0.0,0.08
130,172,Cargo,tanker,0.8,8.91,146.0,276.0,8.0,5,1,0.47,0.07,0.0,0.0,0.0,0.04
131,173,Service,fishing,0.56,10.0,160.0,25.0,3.0,4,1,0.03,0.0,0.03,0.03,0.03,0.23
132,174,Cargo,bulker,0.78,10.0,124.0,277.0,11.52,4,1,0.26,0.08,0.0,0.0,0.18,0.0
133,175,Service,fishing,0.59,12.0,168.0,27.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
134,176,Service,tug,0.7,7.0,221.0,30.0,4.0,4,1,0.2,0.1,0.0,0.1,0.11,0.1
135,177,Service,fishing,0.69,8.0,153.0,23.0,2.0,3,1,0.1,0.0,0.1,0.1,0.1,0.3
136,178,Cargo,bulker,0.8,10.0,53.0,296.0,12.24,4,1,0.29,0.09,0.0,0.0,0.19,0.0
137,179,Cargo,bulker,0.79,10.0,56.0,290.0,12.01,4,1,0.28,0.09,0.0,0.0,0.19,0.0
138,180,Service,tug,0.71,8.0,229.0,31.0,4.0,4,1,0.21,0.11,0.0,0.11,0.13,0.11
139,181,Cargo,bulker,0.77,12.0,68.0,249.0,10.4,4,1,0.22,0.06,0.0,0.0,0.16,0.0
140,182,Service,dredger,0.8,9.0,177.0,127.0,5.0,4,1,0.02,0.92,0.0,0.0,0.0,0.0
141,183,Cargo,bulker,0.73,10.0,53.0,188.0,8.04,4,1,0.12,0.01,0.0,0.0,0.11,0.0
142,184,Cargo,tanker,0.79,8.6,143.0,137.0,8.0,5,1,0.46,0.06,0.0,0.0,0.0,0.03
143,185,Service,dredger,0.84,12.0,134.0,178.0,4.0,4,1,0.05,0.29,0.0,0.0,0.0,0.0
144,186,Service,dredger,0.78,8.0,163.0,113.0,5.0,4,1,0.02,0.94,0.0,0.0,0.0,0.0
145,187,Service,tug,0.74,9.0,242.0,32.0,5.0,6,1,0.24,0.14,0.0,0.14,0.17,0.14
146,188,Cargo,containership,0.74,13.0,57.0,300.0,9.0,6,1,0.46,0.0,0.0,0.0,0.0,0.0
147,189,Cargo,containership,0.72,15.0,104.0,181.0,13.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
148,190,Cargo,bulker,0.73,10.0,52.0,184.0,7.87,4,1,0.11,0.01,0.0,0.0,0.11,0.0
149,191,Service,dredger,0.83,12.0,187.0,167.0,6.0,4,1,0.04,0.28,0.0,0.0,0.0,0.0
150,192,Cargo,containership,0.72,14.0,100.0,167.0,11.0,6,1,0.37,0.0,0.0,0.0,0.0,0.0
151,193,Cargo,containership,0.73,16.0,106.0,191.0,13.0,6,1,0.41,0.0,0.0,0.0,0.0,0.0
152,194,Cargo,bulker,0.79,12.0,125.0,279.0,11.57,4,1,0.26,0.08,0.0,0.0,0.18,0.0
153,195,Cargo,containership,0.73,16.0,108.0,196.0,12.0,6,1,0.42,0.0,0.0,0.0,0.0,0.0
154,196,Service,fishing,0.63,5.0,181.0,30.0,4.0,5,1,0.06,0.0,0.06,0.06,0.06,0.26
155,197,Cargo,vehicle_carrier,0.78,20.0,58.0,170.0,6.35,6,1,0.91,0.0,0.15,0.05,0.05,0.0
156,198,Service,tug,0.71,7.0,223.0,30.0,4.0,4,1,0.21,0.11,0.0,0.11,0.11,0.11
157,199,Cargo,vehicle_carrier,0.77,18.0,55.0,181.0,5.86,6,1,0.87,0.0,0.13,0.03,0.03,0.0
158,200,Cargo,bulker,0.72,10.0,51.0,180.0,7.73,4,1,0.11,0.0,0.0,0.0,0.1,0.0
159,201,Cargo,tanker,0.76,7.77,137.0,124.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.01
160,202,Service,tug,0.78,10.0,244.0,33.0,5.0,6,1,0.28,0.18,0.0,0.18,0.25,0.18
161,203,Cargo,bulker,0.73,10.0,52.0,186.0,7.95,4,1,0.12,0.01,0.0,0.0,0.11,0.0
162,204,Service,dredger,0.79,9.0,170.0,120.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
163,205,Cargo,tanker,0.82,9.24,148.0,281.0,9.0,5,1,0.49,0.09,0.0,0.0,0.0,0.04
164,206,Cargo,vehicle_carrier,0.75,16.0,50.0,170.0,5.02,6,1,0.8,0.0,0.1,0.0,0.0,0.0
165,207,Cargo,bulker,0.76,12.0,66.0,239.0,10.03,4,1,0.2,0.05,0.0,0.0,0.15,0.0
166,208,Service,dredger,0.78,8.0,155.0,105.0,5.0,4,1,0.01,0.23,0.0,0.0,0.0,0.0
167,209,Service,tug,0.76,7.0,255.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.21,0.16
168,210,Service,tug,0.74,10.0,244.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.18,0.14
169,211,Service,recreational,0.68,17.0,118.0,34.0,2.0,4,1,0.26,0.0,0.16,0.11,0.0,0.21
170,212,Service,dredger,0.79,9.0,170.0,120.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
171,213,Service,fishing,0.53,7.0,149.0,22.0,2.0,3,1,0.02,0.0,0.02,0.02,0.02,0.22
172,214,Cargo,containership,0.73,16.0,105.0,186.0,11.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
173,215,Cargo,tanker,0.76,7.68,136.0,122.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.0
174,216,Service,dredger,0.84,12.0,146.0,179.0,4.0,4,1,0.04,0.96,0.0,0.0,0.0,0.0
175,217,Service,recreational,0.74,17.0,109.0,32.0,2.0,4,1,0.3,0.0,0.2,0.19,0.0,0.29
176,218,Cargo,containership,0.72,14.0,59.0,158.0,10.0,6,1,0.36,0.0,0.0,0.0,0.0,0.0
177,219,Cargo,containership,0.73,14.0,109.0,288.0,11.0,6,1,0.44,0.0,0.0,0.0,0.0,0.0
178,220,Cargo,bulker,0.78,12.0,122.0,270.0,11.24,4,1,0.25,0.07,0.0,0.0,0.17,0.0
179,221,Cargo,containership,0.71,13.0,57.0,151.0,9.0,6,1,0.35,0.0,0.0,0.0,0.0,0.0
180,222,Service,fishing,0.66,6.0,189.0,21.0,2.0,3,1,0.08,0.0,0.08,0.08,0.08,0.28
181,223,Service,tug,0.73,9.0,241.0,32.0,5.0,6,1,0.23,0.13,0.0,0.13,0.17,0.13
182,224,Service,recreational,0.61,15.0,102.0,30.0,2.0,4,1,0.21,0.0,0.11,0.01,0.0,0.11
183,225,Cargo,containership,0.74,13.0,57.0,288.0,9.0,6,1,0.44,0.0,0.0,0.0,0.0,0.0
184,226,Cargo,bulker,0.76,11.0,65.0,236.0,9.92,6,1,0.2,0.05,0.0,0.0,0.15,0.0
185,227,Service,fishing,0.58,11.0,165.0,26.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
186,228,Cargo,vehicle_carrier,0.8,17.0,60.0,177.0,7.3,6,1,0.98,0.0,0.19,0.09,0.09,0.0
187,229,Service,tug,0.75,8.0,253.0,34.0,6.0,4,1,0.25,0.15,0.0,0.15,0.21,0.15
188,230,Service,tug,0.77,8.0,230.0,35.0,6.0,4,1,0.27,0.17,0.0,0.17,0.24,0.17
189,231,Service,recreational,0.73,15.0,100.0,30.0,2.0,4,1,0.29,0.0,0.19,0.17,0.0,0.27
190,232,Service,tug,0.73,9.0,237.0,32.0,5.0,6,1,0.23,0.13,0.0,0.13,0.16,0.13
191,233,Cargo,containership,0.73,13.0,110.0,286.0,8.0,6,1,0.44,0.0,0.0,0.0,0.0,0.0
192,234,Cargo,bulker,0.75,11.0,60.0,218.0,9.21,6,1,0.17,0.03,0.0,0.0,0.13,0.0
193,235,Service,tug,0.73,9.0,242.0,32.0,5.0,6,1,0.23,0.13,0.0,0.13,0.17,0.13
194,236,Service,tug,0.77,9.0,243.0,35.0,6.0,6,1,0.27,0.17,0.0,0.17,0.23,0.17
195,237,Cargo,vehicle_carrier,0.78,20.0,59.0,185.0,6.56,6,1,0.92,0.0,0.16,0.06,0.06,0.0
196,238,Cargo,vehicle_carrier,0.79,18.0,55.0,181.0,6.99,6,1,0.96,0.0,0.18,0.08,0.08,0.0
197,239,Cargo,tanker,0.77,7.97,138.0,127.0,6.0,4,1,0.42,0.02,0.0,0.0,0.0,0.01
198,240,Service,fishing,0.67,5.0,195.0,29.0,4.0,5,1,0.09,0.0,0.09,0.09,0.09,0.29
199,241,Cargo,containership,0.73,16.0,106.0,287.0,7.0,6,1,0.44,0.0,0.0,0.0,0.0,0.0
200,242,Service,tug,0.73,9.0,241.0,32.0,5.0,6,1,0.23,0.13,0.0,0.13,0.17,0.13
201,243,Service,dredger,0.85,10.0,187.0,137.0,6.0,4,1,0.05,0.95,0.0,0.0,0.0,0.0
202,244,Service,tug,0.79,10.0,246.0,35.0,6.0,6,1,0.29,0.19,0.0,0.19,0.29,0.19
203,245,Cargo,bulker,0.73,10.0,54.0,191.0,8.13,4,1,0.13,0.01,0.0,0.0,0.11,0.0
204,246,Cargo,tanker,0.89,11.21,136.0,123.0,6.0,4,1,0.59,0.19,0.0,0.0,0.0,0.09
205,247,Service,fishing,0.59,12.0,169.0,27.0,3.0,4,1,0.05,0.0,0.05,0.05,0.05,0.25
206,248,Service,dredger,0.83,12.0,173.0,177.0,5.0,4,1,0.04,0.97,0.0,0.0,0.0,0.0
207,249,Cargo,tanker,0.79,8.58,143.0,137.0,8.0,5,1,0.45,0.05,0.0,0.0,0.0,0.03
208,250,Service,recreational,0.66,18.0,112.0,33.0,2.0,4,1,0.24,0.0,0.14,0.08,0.0,0.18
209,251,Service,fishing,0.59,12.0,168.0,27.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
210,252,Service,tug,0.78,7.0,259.0,34.0,6.0,4,1,0.28,0.18,0.0,0.18,0.26,0.18
211,253,Service,tug,0.75,10.0,254.0,34.0,6.0,6,1,0.25,0.15,0.0,0.15,0.21,0.15
212,254,Service,fishing,0.57,10.0,163.0,25.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
213,255,Service,tug,0.71,7.0,223.0,30.0,4.0,4,1,0.21,0.11,0.0,0.11,0.11,0.11
214,256,Cargo,containership,0.72,15.0,104.0,182.0,13.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
215,257,Service,fishing,0.56,10.0,160.0,25.0,3.0,4,1,0.03,0.0,0.03,0.03,0.03,0.23
216,258,Cargo,tanker,0.85,10.11,137.0,124.0,6.0,4,1,0.53,0.13,0.0,0.0,0.0,0.07
217,259,Service,fishing,0.51,5.0,142.0,20.0,2.0,3,1,0.0,0.0,0.0,0.0,0.0,0.2
218,260,Service,dredger,0.77,7.0,146.0,96.0,4.0,4,1,0.01,0.99,0.0,0.0,0.0,0.0
219,261,Service,tug,0.74,10.0,247.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.19,0.14
220,262,Cargo,containership,0.72,14.0,60.0,160.0,11.0,6,1,0.36,0.0,0.0,0.0,0.0,0.0
221,263,Cargo,containership,0.74,15.0,102.0,293.0,12.0,6,1,0.45,0.0,0.0,0.0,0.0,0.0
222,264,Service,recreational,0.69,17.0,119.0,34.0,2.0,4,1,0.26,0.0,0.16,0.12,0.0,0.22
223,265,Cargo,tanker,0.87,10.74,147.0,279.0,9.0,5,1,0.56,0.16,0.0,0.0,0.0,0.08
224,266,Cargo,vehicle_carrier,0.8,16.0,51.0,172.0,7.42,6,1,0.99,0.0,0.2,0.1,0.1,0.0
225,267,Cargo,vehicle_carrier,0.76,17.0,53.0,176.0,5.49,6,1,0.84,0.0,0.12,0.02,0.02,0.0
226,268,Service,fishing,0.65,10.0,188.0,28.0,4.0,5,1,0.08,0.0,0.08,0.08,0.08,0.28
