CATALOG_ID,LOCAL_ID,NAME_(US),LATITUDE_(DEG),LONGITUDE_(DEG),LATITUDE_(DMS),LONGITUDE_(DMS),SHALLOW_WATER,Season,SEABED,DEPTH_M,RAIN,SEA_STATE,SHIPPING
52,14,Rio de la Plata Estuary,-36.325,-55.875,36°19′30″ S,55°52′30″ W,yes,Summer,Sand,16.9,0,3,2
53,14,Rio de la Plata Estuary,-36.325,-55.875,36°19′30″ S,55°52′30″ W,yes,Autumn,Sand,16.9,0,3,2
54,14,Rio de la Plata Estuary,-36.325,-55.875,36°19′30″ S,55°52′30″ W,yes,Winter,Sand,16.9,0,3,2
55,14,Rio de la Plata Estuary,-36.325,-55.875,36°19′30″ S,55°52′30″ W,yes,Spring,Sand,16.9,0,3,2
56,15,Scotia Sea,-53.625,-38.875,53°37′30″ S,38°52′30″ W,no,Summer,Gravel,1332.6,0,4,1
57,15,Scotia Sea,-53.625,-38.875,53°37′30″ S,38°52′30″ W,no,Autumn,Gravel,1332.6,0,4,1
58,15,Scotia Sea,-53.625,-38.875,53°37′30″ S,38°52′30″ W,no,Winter,Gravel,1332.6,0,4,1
59,15,Scotia Sea,-53.625,-38.875,53°37′30″ S,38°52′30″ W,no,Spring,Gravel,1332.6,0,4,1
60,16,Sea of Japan,43.875,141.125,43°52′30″ N,141°07′30″ E,no,Summer,Clay,288.9,1,2,5
61,16,Sea of Japan,43.875,141.125,43°52′30″ N,141°07′30″ E,no,Autumn,Clay,288.9,1,3,5
62,16,Sea of Japan,43.875,141.125,43°52′30″ N,141°07′30″ E,no,Winter,Clay,288.9,1,3,5
63,16,Sea of Japan,43.875,141.125,43°52′30″ N,141°07′30″ E,no,Spring,Clay,288.9,1,3,5
64,17,South China Sea,10.675,117.675,10°40′30″ N,117°40′30″ E,no,Summer,Clay,1183.8,2,2,3
65,17,South China Sea,10.675,117.675,10°40′30″ N,117°40′30″ E,no,Autumn,Clay,1183.8,3,3,3
66,17,South China Sea,10.675,117.675,10°40′30″ N,117°40′30″ E,no,Winter,Clay,1183.8,2,3,3
67,17,South China Sea,10.675,117.675,10°40′30″ N,117°40′30″ E,no,Spring,Clay,1183.8,0,2,3
68,18,Tasman Sea,-39.875,168.125,39°52′30″ S,168°07′30″ E,no,Summer,Silt,850.1,0,4,1
69,18,Tasman Sea,-39.875,168.125,39°52′30″ S,168°07′30″ E,no,Autumn,Silt,850.1,0,4,1
70,18,Tasman Sea,-39.875,168.125,39°52′30″ S,168°07′30″ E,no,Winter,Silt,850.1,1,4,1
71,18,Tasman Sea,-39.875,168.125,39°52′30″ S,168°07′30″ E,no,Spring,Silt,850.1,1,4,1
72,19,Western South Pacific Ocean,-12.125,13.125,12°07′30″ S,13°07′30″ E,no,Summer,Sand,1166.8,1,2,2
73,19,Western South Pacific Ocean,-12.125,13.125,12°07′30″ S,13°07′30″ E,no,Autumn,Sand,1166.8,0,2,2
74,19,Western South Pacific Ocean,-12.125,13.125,12°07′30″ S,13°07′30″ E,no,Winter,Sand,1166.8,0,2,2
75,19,Western South Pacific Ocean,-12.125,13.125,12°07′30″ S,13°07′30″ E,no,Spring,Sand,1166.8,0,2,2
76,20,Yucatan Channel,21.875,-85.125,21°52′30″ N,85°07′30″ W,no,Summer,Basalt,1578.2,2,2,4
77,20,Yucatan Channel,21.875,-85.125,21°52′30″ N,85°07′30″ W,no,Autumn,Basalt,1578.2,2,3,4
78,20,Yucatan Channel,21.875,-85.125,21°52′30″ N,85°07′30″ W,no,Winter,Basalt,1578.2,0,3,4
79,20,Yucatan Channel,21.875,-85.125,21°52′30″ N,85°07′30″ W,no,Spring,Basalt,1578.2,0,2,4
