CATALOG_ID,SHIP_CATALOG_ID,DYNAMIC_CATALOG_ID,SCENARIO_CATALOG_ID
148,37,37,14
149,37,37,3
150,37,37,48
151,37,37,34
152,38,38,14
153,38,38,3
154,38,38,71
155,38,38,28
156,39,39,14
157,39,39,3
158,39,39,41
159,39,39,7
160,40,40,14
161,40,40,3
162,40,40,29
163,40,40,4
164,41,41,14
165,41,41,3
166,41,41,40
167,41,41,51
168,42,42,14
169,42,42,3
170,42,42,34
171,42,42,8
172,43,43,14
173,43,43,3
174,43,43,27
175,43,43,72
176,44,44,14
177,44,44,3
178,44,44,40
179,44,44,27
180,45,45,14
181,45,45,3
182,45,45,63
183,45,45,50
184,46,46,14
185,46,46,3
186,46,46,58
187,46,46,18
188,47,47,14
189,47,47,3
190,47,47,33
191,47,47,17
192,48,48,14
193,48,48,3
194,48,48,31
195,48,48,71
196,49,49,14
197,49,49,3
198,49,49,68
199,49,49,33
200,50,50,14
201,50,50,3
202,50,50,74
203,50,50,54
204,51,51,14
205,51,51,3
206,51,51,74
207,51,51,51
208,52,52,14
209,52,52,3
210,52,52,46
211,52,52,28
212,53,53,14
213,53,53,3
214,53,53,17
215,53,53,65
216,54,54,14
217,54,54,3
218,54,54,63
219,54,54,11
220,55,55,14
221,55,55,3
222,55,55,6
223,55,55,19
224,56,56,14
225,56,56,3
226,56,56,20
227,56,56,54
228,57,57,14
229,57,57,3
230,57,57,76
231,57,57,8
232,58,58,14
233,58,58,3
234,58,58,49
235,58,58,76
236,59,59,14
237,59,59,3
238,59,59,59
239,59,59,67
240,60,60,14
241,60,60,3
242,60,60,32
243,60,60,70
244,61,61,14
245,61,61,3
246,61,61,1
247,61,61,68
248,62,62,14
249,62,62,3
250,62,62,34
251,62,62,43
252,63,63,14
253,63,63,3
254,63,63,37
255,63,63,55
256,64,64,14
257,64,64,3
258,64,64,20
259,64,64,58
260,65,65,14
261,65,65,3
262,65,65,0
263,65,65,33
264,66,66,14
265,66,66,3
266,66,66,64
267,66,66,22
268,67,67,14
269,67,67,3
270,67,67,64
271,67,67,13
272,68,68,14
273,68,68,3
274,68,68,38
275,68,68,64
276,69,69,14
277,69,69,3
278,69,69,77
279,69,69,25
280,70,70,14
281,70,70,3
282,70,70,19
283,70,70,47
284,71,71,14
285,71,71,3
286,71,71,20
287,71,71,69
288,72,72,14
289,72,72,3
290,72,72,67
291,72,72,0
292,73,73,14
293,73,73,3
294,73,73,76
295,73,73,41
296,74,74,14
297,74,74,3
298,74,74,62
299,74,74,2
300,75,75,14
301,75,75,3
302,75,75,46
303,75,75,39
304,76,76,14
305,76,76,3
306,76,76,30
307,76,76,7
308,77,77,14
309,77,77,3
310,77,77,30
311,77,77,72
312,78,78,14
313,78,78,3
314,78,78,10
315,78,78,62
316,79,79,14
317,79,79,3
318,79,79,8
319,79,79,68
320,80,80,14
321,80,80,3
322,80,80,16
323,80,80,60
324,81,81,14
325,81,81,3
326,81,81,70
327,81,81,21
328,82,82,14
329,82,82,3
330,82,82,33
331,82,82,67
332,83,83,14
333,83,83,3
334,83,83,77
335,83,83,54
336,84,84,14
337,84,84,3
338,84,84,27
339,84,84,69
340,85,85,14
341,85,85,3
342,85,85,25
343,85,85,39
344,86,86,14
345,86,86,3
346,86,86,51
347,86,86,47
348,87,87,14
349,87,87,3
350,87,87,56
351,87,87,66
352,88,88,14
353,88,88,3
354,88,88,57
355,88,88,15
356,89,89,14
357,89,89,3
358,89,89,31
359,89,89,8
360,90,90,14
361,90,90,3
362,90,90,43
363,90,90,2
364,91,91,14
365,91,91,3
366,91,91,75
367,91,91,70
368,92,92,14
369,92,92,3
370,92,92,29
371,92,92,75
372,93,93,14
373,93,93,3
374,93,93,28
375,93,93,0
376,94,94,14
377,94,94,3
378,94,94,9
379,94,94,7
380,95,95,14
381,95,95,3
382,95,95,29
383,95,95,8
384,96,96,14
385,96,96,3
386,96,96,4
387,96,96,42
388,97,97,14
389,97,97,3
390,97,97,9
391,97,97,65
392,98,98,14
393,98,98,3
394,98,98,30
395,98,98,35
396,99,99,14
397,99,99,3
398,99,99,62
399,99,99,27
400,100,100,14
401,100,100,3
402,100,100,69
403,100,100,16
404,101,101,14
405,101,101,3
406,101,101,73
407,101,101,60
408,102,102,14
409,102,102,3
410,102,102,31
411,102,102,60
412,103,103,14
413,103,103,3
414,103,103,52
415,103,103,24
416,104,104,14
417,104,104,3
418,104,104,12
419,104,104,55
420,105,105,14
421,105,105,3
422,105,105,45
423,105,105,54
424,106,106,14
425,106,106,3
426,106,106,52
427,106,106,59
428,107,107,14
429,107,107,3
430,107,107,6
431,107,107,12
432,108,108,14
433,108,108,3
434,108,108,7
435,108,108,51
436,109,109,14
437,109,109,3
438,109,109,43
439,109,109,13
440,110,110,14
441,110,110,3
442,110,110,31
443,110,110,24
444,111,111,14
445,111,111,3
446,111,111,24
447,111,111,68
448,112,112,14
449,112,112,3
450,112,112,57
451,112,112,17
452,113,113,14
453,113,113,3
454,113,113,54
455,113,113,23
456,114,114,14
457,114,114,3
458,114,114,35
459,114,114,59
460,115,115,14
461,115,115,3
462,115,115,31
463,115,115,9
464,116,116,14
465,116,116,3
466,116,116,56
467,116,116,70
468,117,117,14
469,117,117,3
470,117,117,12
471,117,117,6
472,118,118,14
473,118,118,3
474,118,118,69
475,118,118,1
476,119,119,14
477,119,119,3
478,119,119,11
479,119,119,30
480,120,120,14
481,120,120,3
482,120,120,21
483,120,120,52
484,121,121,14
485,121,121,3
486,121,121,62
487,121,121,27
488,122,122,14
489,122,122,3
490,122,122,51
491,122,122,7
492,123,123,14
493,123,123,3
494,123,123,21
495,123,123,48
496,124,124,14
497,124,124,3
498,124,124,0
499,124,124,49
500,125,125,14
501,125,125,3
502,125,125,33
503,125,125,58
504,126,126,14
505,126,126,3
506,126,126,36
507,126,126,54
508,127,127,14
509,127,127,3
510,127,127,71
511,127,127,62
512,128,128,14
513,128,128,3
514,128,128,19
515,128,128,24
516,129,129,14
517,129,129,3
518,129,129,37
519,129,129,27
520,130,130,14
521,130,130,3
522,130,130,7
523,130,130,74
524,131,131,14
525,131,131,3
526,131,131,69
527,131,131,7
528,132,132,14
529,132,132,3
530,132,132,40
531,132,132,7
532,133,133,14
533,133,133,3
534,133,133,6
535,133,133,74
536,134,134,14
537,134,134,3
538,134,134,61
539,134,134,64
540,135,135,14
541,135,135,3
542,135,135,67
543,135,135,20
544,136,136,14
545,136,136,3
546,136,136,7
547,136,136,65
548,137,137,14
549,137,137,3
550,137,137,10
551,137,137,23
552,138,138,14
553,138,138,3
554,138,138,8
555,138,138,76
556,139,139,14
557,139,139,3
558,139,139,8
559,139,139,30
560,140,140,14
561,140,140,3
562,140,140,51
563,140,140,15
564,141,141,14
565,141,141,3
566,141,141,72
567,141,141,31
568,142,142,14
569,142,142,3
570,142,142,74
571,142,142,76
572,143,143,14
573,143,143,3
574,143,143,5
575,143,143,79
576,144,144,14
577,144,144,3
578,144,144,10
579,144,144,53
580,145,145,14
581,145,145,3
582,145,145,74
583,145,145,66
584,146,146,14
585,146,146,3
586,146,146,40
587,146,146,33
588,147,147,14
589,147,147,3
590,147,147,26
591,147,147,40
592,148,148,14
593,148,148,3
594,148,148,30
595,148,148,33
596,149,149,14
597,149,149,3
598,149,149,50
599,149,149,16
600,150,150,14
601,150,150,3
602,150,150,38
603,150,150,58
604,151,151,14
605,151,151,3
606,151,151,40
607,151,151,9
608,152,152,14
609,152,152,3
610,152,152,1
611,152,152,58
612,153,153,14
613,153,153,3
614,153,153,79
615,153,153,72
616,154,154,14
617,154,154,3
618,154,154,12
619,154,154,9
620,155,155,14
621,155,155,3
622,155,155,68
623,155,155,27
624,156,156,14
625,156,156,3
626,156,156,64
627,156,156,33
628,157,157,14
629,157,157,3
630,157,157,16
631,157,157,44
632,158,158,14
633,158,158,3
634,158,158,8
635,158,158,31
636,159,159,14
637,159,159,3
638,159,159,47
639,159,159,36
640,160,160,14
641,160,160,3
642,160,160,20
643,160,160,56
644,161,161,14
645,161,161,3
646,161,161,69
647,161,161,38
648,162,162,14
649,162,162,3
650,162,162,78
651,162,162,67
652,163,163,14
653,163,163,3
654,163,163,1
655,163,163,70
656,164,164,14
657,164,164,3
658,164,164,38
659,164,164,13
660,165,165,14
661,165,165,3
662,165,165,17
663,165,165,33
664,166,166,14
665,166,166,3
666,166,166,13
667,166,166,70
668,167,167,14
669,167,167,3
670,167,167,19
671,167,167,34
672,168,168,14
673,168,168,3
674,168,168,36
675,168,168,77
676,169,169,14
677,169,169,3
678,169,169,26
679,169,169,43
680,170,170,14
681,170,170,3
682,170,170,26
683,170,170,33
684,171,171,14
685,171,171,3
686,171,171,64
687,171,171,62
688,172,172,14
689,172,172,3
690,172,172,32
691,172,172,6
692,173,173,14
693,173,173,3
694,173,173,11
695,173,173,54
696,174,174,14
697,174,174,3
698,174,174,35
699,174,174,5
700,175,175,14
701,175,175,3
702,175,175,0
703,175,175,42
704,176,176,14
705,176,176,3
706,176,176,16
707,176,176,33
708,177,177,14
709,177,177,3
710,177,177,20
711,177,177,56
712,178,178,14
713,178,178,3
714,178,178,70
715,178,178,54
716,179,179,14
717,179,179,3
718,179,179,71
719,179,179,1
720,180,180,14
721,180,180,3
722,180,180,9
723,180,180,19
724,181,181,14
725,181,181,3
726,181,181,69
727,181,181,4
728,182,182,14
729,182,182,3
730,182,182,47
731,182,182,74
732,183,183,14
733,183,183,3
734,183,183,70
735,183,183,18
736,184,184,14
737,184,184,3
738,184,184,55
739,184,184,16
740,185,185,14
741,185,185,3
742,185,185,5
743,185,185,39
744,186,186,14
745,186,186,3
746,186,186,46
747,186,186,5
748,187,187,14
749,187,187,3
750,187,187,45
751,187,187,26
752,188,188,14
753,188,188,3
754,188,188,31
755,188,188,13
756,189,189,14
757,189,189,3
758,189,189,45
759,189,189,71
760,190,190,14
761,190,190,3
762,190,190,52
763,190,190,79
764,191,191,14
765,191,191,3
766,191,191,19
767,191,191,30
768,192,192,14
769,192,192,3
770,192,192,20
771,192,192,52
772,193,193,14
773,193,193,3
774,193,193,22
775,193,193,42
776,194,194,14
777,194,194,3
778,194,194,52
779,194,194,31
780,195,195,14
781,195,195,3
782,195,195,34
783,195,195,20
784,196,196,14
785,196,196,3
786,196,196,13
787,196,196,48
788,197,197,14
789,197,197,3
790,197,197,4
791,197,197,60
792,198,198,14
793,198,198,3
794,198,198,28
795,198,198,25
796,199,199,14
797,199,199,3
798,199,199,58
799,199,199,44
800,200,200,14
801,200,200,3
802,200,200,39
803,200,200,29
804,201,201,14
805,201,201,3
806,201,201,28
807,201,201,24
808,202,202,14
809,202,202,3
810,202,202,51
811,202,202,42
812,203,203,14
813,203,203,3
814,203,203,35
815,203,203,8
816,204,204,14
817,204,204,3
818,204,204,35
819,204,204,44
820,205,205,14
821,205,205,3
822,205,205,65
823,205,205,51
824,206,206,14
825,206,206,3
826,206,206,68
827,206,206,42
828,207,207,14
829,207,207,3
830,207,207,33
831,207,207,22
832,208,208,14
833,208,208,3
834,208,208,74
835,208,208,33
836,209,209,14
837,209,209,3
838,209,209,4
839,209,209,13
840,210,210,14
841,210,210,3
842,210,210,76
843,210,210,55
844,211,211,14
845,211,211,3
846,211,211,44
847,211,211,40
848,212,212,14
849,212,212,3
850,212,212,55
851,212,212,77
852,213,213,14
853,213,213,3
854,213,213,65
855,213,213,49
856,214,214,14
857,214,214,3
858,214,214,73
859,214,214,24
860,215,215,14
861,215,215,3
862,215,215,32
863,215,215,5
864,216,216,14
865,216,216,3
866,216,216,55
867,216,216,0
868,217,217,14
869,217,217,3
870,217,217,66
871,217,217,68
872,218,218,14
873,218,218,3
874,218,218,25
875,218,218,46
876,219,219,14
877,219,219,3
878,219,219,55
879,219,219,8
880,220,220,14
881,220,220,3
882,220,220,42
883,220,220,79
884,221,221,14
885,221,221,3
886,221,221,40
887,221,221,15
888,222,222,14
889,222,222,3
890,222,222,38
891,222,222,64
892,223,223,14
893,223,223,3
894,223,223,39
895,223,223,52
896,224,224,14
897,224,224,3
898,224,224,41
899,224,224,51
900,225,225,14
901,225,225,3
902,225,225,37
903,225,225,70
904,226,226,14
905,226,226,3
906,226,226,16
907,226,226,24
908,227,227,14
909,227,227,3
910,227,227,53
911,227,227,48
912,228,228,14
913,228,228,3
914,228,228,22
915,228,228,78
916,229,229,14
917,229,229,3
918,229,229,72
919,229,229,38
920,230,230,14
921,230,230,3
922,230,230,51
923,230,230,70
924,231,231,14
925,231,231,3
926,231,231,0
927,231,231,38
928,232,232,14
929,232,232,3
930,232,232,36
931,232,232,26
932,233,233,14
933,233,233,3
934,233,233,55
935,233,233,74
936,234,234,14
937,234,234,3
938,234,234,77
939,234,234,41
940,235,235,14
941,235,235,3
942,235,235,59
943,235,235,27
944,236,236,14
945,236,236,3
946,236,236,65
947,236,236,60
948,237,237,14
949,237,237,3
950,237,237,21
951,237,237,10
952,238,238,14
953,238,238,3
954,238,238,36
955,238,238,65
956,239,239,14
957,239,239,3
958,239,239,79
959,239,239,42
960,240,240,14
961,240,240,3
962,240,240,11
963,240,240,30
964,241,241,14
965,241,241,3
966,241,241,39
967,241,241,28
968,242,242,14
969,242,242,3
970,242,242,25
971,242,242,18
972,243,243,14
973,243,243,3
974,243,243,5
975,243,243,31
976,244,244,14
977,244,244,3
978,244,244,60
979,244,244,78
980,245,245,14
981,245,245,3
982,245,245,9
983,245,245,58
984,246,246,14
985,246,246,3
986,246,246,53
987,246,246,73
988,247,247,14
989,247,247,3
990,247,247,24
991,247,247,49
992,248,248,14
993,248,248,3
994,248,248,63
995,248,248,51
996,249,249,14
997,249,249,3
998,249,249,31
999,249,249,18
1000,250,250,14
1001,250,250,3
1002,250,250,0
1003,250,250,13
1004,251,251,14
1005,251,251,3
1006,251,251,54
1007,251,251,28
1008,252,252,14
1009,252,252,3
1010,252,252,22
1011,252,252,66
1012,253,253,14
1013,253,253,3
1014,253,253,59
1015,253,253,6
1016,254,254,14
1017,254,254,3
1018,254,254,71
1019,254,254,31
1020,255,255,14
1021,255,255,3
1022,255,255,15
1023,255,255,58
1024,256,256,14
1025,256,256,3
1026,256,256,17
1027,256,256,59
1028,257,257,14
1029,257,257,3
1030,257,257,67
1031,257,257,71
1032,258,258,14
1033,258,258,3
1034,258,258,76
1035,258,258,40
1036,259,259,14
1037,259,259,3
1038,259,259,56
1039,259,259,78
1040,260,260,14
1041,260,260,3
1042,260,260,64
1043,260,260,54
1044,261,261,14
1045,261,261,3
1046,261,261,70
1047,261,261,57
1048,262,262,14
1049,262,262,3
1050,262,262,20
1051,262,262,60
1052,263,263,14
1053,263,263,3
1054,263,263,57
1055,263,263,33
1056,264,264,14
1057,264,264,3
1058,264,264,31
1059,264,264,35
1060,265,265,14
1061,265,265,3
1062,265,265,66
1063,265,265,62
1064,266,266,14
1065,266,266,3
1066,266,266,30
1067,266,266,35
1068,267,267,14
1069,267,267,3
1070,267,267,56
1071,267,267,9
1072,268,268,14
1073,268,268,3
1074,268,268,36
1075,268,268,30
1076,269,269,14
1077,269,269,3
1078,269,269,34
1079,269,269,42
1080,270,270,14
1081,270,270,3
1082,270,270,40
1083,270,270,69
1084,271,271,14
1085,271,271,3
1086,271,271,10
1087,271,271,17
1088,272,272,14
1089,272,272,3
1090,272,272,19
1091,272,272,29
1092,273,273,14
1093,273,273,3
1094,273,273,49
1095,273,273,19
1096,274,274,14
1097,274,274,3
1098,274,274,27
1099,274,274,8
1100,275,275,14
1101,275,275,3
1102,275,275,53
1103,275,275,42
1104,276,276,14
1105,276,276,3
1106,276,276,69
1107,276,276,59
1108,277,277,14
1109,277,277,3
1110,277,277,53
1111,277,277,7
1112,278,278,14
1113,278,278,3
1114,278,278,26
1115,278,278,53
1116,279,279,14
1117,279,279,3
1118,279,279,49
1119,279,279,74
1120,280,280,14
1121,280,280,3
1122,280,280,2
1123,280,280,73
1124,281,281,14
1125,281,281,3
1126,281,281,48
1127,281,281,61
1128,282,282,14
1129,282,282,3
1130,282,282,0
1131,282,282,45
1132,283,283,14
1133,283,283,3
1134,283,283,38
1135,283,283,49
1136,284,284,14
1137,284,284,3
1138,284,284,53
1139,284,284,68
1140,285,285,14
1141,285,285,3
1142,285,285,69
1143,285,285,77
1144,286,286,14
1145,286,286,3
1146,286,286,28
1147,286,286,62
1148,287,287,14
1149,287,287,3
1150,287,287,28
1151,287,287,34
1152,288,288,14
1153,288,288,3
1154,288,288,55
1155,288,288,62
1156,289,289,14
1157,289,289,3
1158,289,289,49
1159,289,289,43
1160,290,290,14
1161,290,290,3
1162,290,290,51
1163,290,290,21
1164,291,291,14
1165,291,291,3
1166,291,291,59
1167,291,291,16
1168,292,292,14
1169,292,292,3
1170,292,292,79
1171,292,292,68
1172,293,293,14
1173,293,293,3
1174,293,293,50
1175,293,293,75
1176,294,294,14
1177,294,294,3
1178,294,294,72
1179,294,294,10
1180,295,295,14
1181,295,295,3
1182,295,295,54
1183,295,295,17
1184,296,296,14
1185,296,296,3
1186,296,296,59
1187,296,296,23
1188,297,297,14
1189,297,297,3
1190,297,297,6
1191,297,297,33
1192,298,298,14
1193,298,298,3
1194,298,298,48
1195,298,298,41
1196,299,299,14
1197,299,299,3
1198,299,299,27
1199,299,299,58
1200,300,300,14
1201,300,300,3
1202,300,300,41
1203,300,300,48
1204,301,301,14
1205,301,301,3
1206,301,301,35
1207,301,301,53
1208,302,302,14
1209,302,302,3
1210,302,302,32
1211,302,302,10
1212,303,303,14
1213,303,303,3
1214,303,303,60
1215,303,303,2
1216,304,304,14
1217,304,304,3
1218,304,304,69
1219,304,304,6
1220,305,305,14
1221,305,305,3
1222,305,305,44
1223,305,305,28
1224,306,306,14
1225,306,306,3
1226,306,306,8
1227,306,306,5
1228,307,307,14
1229,307,307,3
1230,307,307,31
1231,307,307,25
1232,308,308,14
1233,308,308,3
1234,308,308,2
1235,308,308,79
1236,309,309,14
1237,309,309,3
1238,309,309,19
1239,309,309,30
1240,310,310,14
1241,310,310,3
1242,310,310,16
1243,310,310,60
1244,311,311,14
1245,311,311,3
1246,311,311,72
1247,311,311,27
1248,312,312,14
1249,312,312,3
1250,312,312,59
1251,312,312,32
1252,313,313,14
1253,313,313,3
1254,313,313,47
1255,313,313,21
1256,314,314,14
1257,314,314,3
1258,314,314,77
1259,314,314,20
1260,315,315,14
1261,315,315,3
1262,315,315,39
1263,315,315,13
1264,316,316,14
1265,316,316,3
1266,316,316,74
1267,316,316,39
1268,317,317,14
1269,317,317,3
1270,317,317,73
1271,317,317,48
1272,318,318,14
1273,318,318,3
1274,318,318,50
1275,318,318,25
1276,319,319,14
1277,319,319,3
1278,319,319,9
1279,319,319,75
1280,320,320,14
1281,320,320,3
1282,320,320,31
1283,320,320,13
1284,321,321,14
1285,321,321,3
1286,321,321,38
1287,321,321,76
1288,322,322,14
1289,322,322,3
1290,322,322,15
1291,322,322,72
1292,323,323,14
1293,323,323,3
1294,323,323,5
1295,323,323,44
1296,324,324,14
1297,324,324,3
1298,324,324,68
1299,324,324,54
1300,325,325,14
1301,325,325,3
1302,325,325,47
1303,325,325,8
1304,326,326,14
1305,326,326,3
1306,326,326,64
1307,326,326,43
1308,327,327,14
1309,327,327,3
1310,327,327,1
1311,327,327,53
1312,328,328,14
1313,328,328,3
1314,328,328,62
1315,328,328,13
1316,329,329,14
1317,329,329,3
1318,329,329,55
1319,329,329,46
1320,330,330,14
1321,330,330,3
1322,330,330,58
1323,330,330,19
1324,331,331,14
1325,331,331,3
1326,331,331,55
1327,331,331,22
1328,332,332,14
1329,332,332,3
1330,332,332,66
1331,332,332,34
1332,333,333,14
1333,333,333,3
1334,333,333,78
1335,333,333,68
1336,334,334,14
1337,334,334,3
1338,334,334,61
1339,334,334,59
1340,335,335,14
1341,335,335,3
1342,335,335,55
1343,335,335,75
1344,336,336,14
1345,336,336,3
1346,336,336,34
1347,336,336,41
1348,337,337,14
1349,337,337,3
1350,337,337,31
1351,337,337,11
1352,338,338,14
1353,338,338,3
1354,338,338,35
1355,338,338,57
1356,339,339,14
1357,339,339,3
1358,339,339,31
1359,339,339,59
1360,340,340,14
1361,340,340,3
1362,340,340,72
1363,340,340,78
1364,341,341,14
1365,341,341,3
1366,341,341,48
1367,341,341,43
1368,342,342,14
1369,342,342,3
1370,342,342,63
1371,342,342,41
1372,343,343,14
1373,343,343,3
1374,343,343,23
1375,343,343,62
1376,344,344,14
1377,344,344,3
1378,344,344,27
1379,344,344,45
1380,345,345,14
1381,345,345,3
1382,345,345,33
1383,345,345,43
1384,346,346,14
1385,346,346,3
1386,346,346,35
1387,346,346,76
1388,347,347,14
1389,347,347,3
1390,347,347,35
1391,347,347,71
1392,348,348,14
1393,348,348,3
1394,348,348,1
1395,348,348,66
1396,349,349,14
1397,349,349,3
1398,349,349,24
1399,349,349,10
1400,350,350,14
1401,350,350,3
1402,350,350,30
1403,350,350,52
1404,351,351,14
1405,351,351,3
1406,351,351,62
1407,351,351,71
1408,352,352,14
1409,352,352,3
1410,352,352,30
1411,352,352,60
1412,353,353,14
1413,353,353,3
1414,353,353,62
1415,353,353,57
1416,354,354,14
1417,354,354,3
1418,354,354,2
1419,354,354,11
1420,355,355,14
1421,355,355,3
1422,355,355,37
1423,355,355,28
1424,356,356,14
1425,356,356,3
1426,356,356,51
1427,356,356,31
1428,357,357,14
1429,357,357,3
1430,357,357,39
1431,357,357,74
1432,358,358,14
1433,358,358,3
1434,358,358,47
1435,358,358,60
1436,359,359,14
1437,359,359,3
1438,359,359,70
1439,359,359,67
1440,360,360,14
1441,360,360,3
1442,360,360,44
1443,360,360,54
1444,361,361,14
1445,361,361,3
1446,361,361,70
1447,361,361,42
1448,362,362,14
1449,362,362,3
1450,362,362,45
1451,362,362,58
1452,363,363,14
1453,363,363,3
1454,363,363,34
1455,363,363,39
1456,364,364,14
1457,364,364,3
1458,364,364,32
1459,364,364,29
1460,365,365,14
1461,365,365,3
1462,365,365,15
1463,365,365,24
1464,366,366,14
1465,366,366,3
1466,366,366,40
1467,366,366,15
1468,367,367,14
1469,367,367,3
1470,367,367,68
1471,367,367,23
1472,368,368,14
1473,368,368,3
1474,368,368,24
1475,368,368,61
1476,369,369,14
1477,369,369,3
1478,369,369,35
1479,369,369,75
1480,370,370,14
1481,370,370,3
1482,370,370,67
1483,370,370,76
1484,371,371,14
1485,371,371,3
1486,371,371,36
1487,371,371,12
1488,372,372,14
1489,372,372,3
1490,372,372,24
1491,372,372,37
1492,373,373,14
1493,373,373,3
1494,373,373,29
1495,373,373,46
1496,374,374,14
1497,374,374,3
1498,374,374,22
1499,374,374,38
1500,375,375,14
1501,375,375,3
1502,375,375,1
1503,375,375,68
1504,376,376,14
1505,376,376,3
1506,376,376,16
1507,376,376,35
1508,377,377,14
1509,377,377,3
1510,377,377,5
1511,377,377,70
1512,378,378,14
1513,378,378,3
1514,378,378,37
1515,378,378,16
1516,379,379,14
1517,379,379,3
1518,379,379,62
1519,379,379,13
1520,380,380,14
1521,380,380,3
1522,380,380,1
1523,380,380,73
1524,381,381,14
1525,381,381,3
1526,381,381,36
1527,381,381,60
1528,382,382,14
1529,382,382,3
1530,382,382,61
1531,382,382,56
1532,383,383,14
1533,383,383,3
1534,383,383,43
1535,383,383,23
1536,384,384,14
1537,384,384,3
1538,384,384,6
1539,384,384,32
1540,385,385,14
1541,385,385,3
1542,385,385,61
1543,385,385,8
1544,386,386,14
1545,386,386,3
1546,386,386,51
1547,386,386,62
1548,387,387,14
1549,387,387,3
1550,387,387,9
1551,387,387,73
1552,388,388,14
1553,388,388,3
1554,388,388,6
1555,388,388,19
1556,389,389,14
1557,389,389,3
1558,389,389,19
1559,389,389,72
1560,390,390,14
1561,390,390,3
1562,390,390,38
1563,390,390,10
1564,391,391,14
1565,391,391,3
1566,391,391,31
1567,391,391,15
1568,392,392,14
1569,392,392,3
1570,392,392,71
1571,392,392,53
1572,393,393,14
1573,393,393,3
1574,393,393,77
1575,393,393,28
1576,394,394,14
1577,394,394,3
1578,394,394,66
1579,394,394,48
1580,395,395,14
1581,395,395,3
1582,395,395,57
1583,395,395,38
1584,396,396,14
1585,396,396,3
1586,396,396,75
1587,396,396,54
1588,397,397,14
1589,397,397,3
1590,397,397,39
1591,397,397,72
1592,398,398,14
1593,398,398,3
1594,398,398,79
1595,398,398,7
1596,399,399,14
1597,399,399,3
1598,399,399,78
1599,399,399,12
1600,400,400,14
1601,400,400,3
1602,400,400,26
1603,400,400,33
1604,401,401,14
1605,401,401,3
1606,401,401,10
1607,401,401,20
1608,402,402,14
1609,402,402,3
1610,402,402,30
1611,402,402,22
1612,403,403,14
1613,403,403,3
1614,403,403,70
1615,403,403,9
1616,404,404,14
1617,404,404,3
1618,404,404,20
1619,404,404,0
1620,405,405,14
1621,405,405,3
1622,405,405,52
1623,405,405,57
1624,406,406,14
1625,406,406,3
1626,406,406,76
1627,406,406,60
1628,407,407,14
1629,407,407,3
1630,407,407,37
1631,407,407,4
1632,408,408,14
1633,408,408,3
1634,408,408,29
1635,408,408,36
1636,409,409,14
1637,409,409,3
1638,409,409,36
1639,409,409,58
1640,410,410,14
1641,410,410,3
1642,410,410,9
1643,410,410,29
1644,411,411,14
1645,411,411,3
1646,411,411,33
1647,411,411,75
1648,412,412,14
1649,412,412,3
1650,412,412,25
1651,412,412,54
1652,413,413,14
1653,413,413,3
